id_cliente;qtd_atendimentos;data_ultimo_atendimento;valor_total_atendimentos;qtd_produtos_vendidos;data_ultima_venda_produto;valor_total_venda_produtos;qtd_pacotes_vendidos;data_ultima_venda_pacote;valor_total_venda_pacotes;valor_total_vendas;valor_total_pendente_conta_aberta;valor_total_pendente_notas_abertas
6614545;0;;0;0;;0;0;;0;0;1620.00;0
6614796;0;;0;0;;0;0;;0;0;620.00;0
6615028;0;;0;0;;0;0;;0;0;1635.00;0
6616041;0;;0;0;;0;0;;0;0;1245.00;0
6619964;0;;0;0;;0;0;;0;0;540.00;0
6620218;0;;0;0;;0;0;;0;0;645.00;0
6620290;0;;0;0;;0;0;;0;0;1020.00;0
6621813;0;;0;0;;0;0;;0;0;485.00;0
6622344;0;;0;0;;0;0;;0;0;1325.00;0
6623662;0;;0;0;;0;0;;0;0;285.00;0
6624261;0;;0;0;;0;0;;0;0;445.00;0
6624395;0;;0;0;;0;0;;0;0;620.00;0
6624636;0;;0;0;;0;0;;0;0;165.50;0
6629367;0;;0;0;;0;0;;0;0;180.00;0
6630897;0;;0;0;;0;0;;0;0;930.00;0
6631774;0;;0;0;;0;0;;0;0;1239.00;0
6646888;0;;0;0;;0;0;;0;0;2130.00;0
6646891;0;;0;0;;0;0;;0;0;620.00;0
6647198;0;;0;0;;0;0;;0;0;835.00;0
6653336;0;;0;0;;0;0;;0;0;1290.00;0
6653392;0;;0;0;;0;0;;0;0;50.00;0
6655208;0;;0;0;;0;0;;0;0;600.00;0
6658927;0;;0;0;;0;0;;0;0;5656.00;0
6659037;0;;0;0;;0;0;;0;0;125.00;0
6665572;0;;0;0;;0;0;;0;0;835.00;0
6667116;0;;0;0;;0;0;;0;0;1175.00;0
6668602;0;;0;0;;0;0;;0;0;700.00;0
6669087;0;;0;0;;0;0;;0;0;360.00;0
6672276;0;;0;0;;0;0;;0;0;1880.00;0
6672998;0;;0;0;;0;0;;0;0;1365.00;0
6673162;0;;0;0;;0;0;;0;0;90.00;0
6673642;0;;0;0;;0;0;;0;0;1845.00;0
6673645;0;;0;0;;0;0;;0;0;175.00;0
6681792;0;;0;0;;0;0;;0;0;1005.00;0
6681809;0;;0;0;;0;0;;0;0;1460.00;0
6688722;0;;0;0;;0;0;;0;0;465.00;0
6691731;0;;0;0;;0;0;;0;0;1320.00;0
6698036;0;;0;0;;0;0;;0;0;420.00;0
6699382;0;;0;0;;0;0;;0;0;2100.00;0
6699495;0;;0;0;;0;0;;0;0;245.00;0
6700814;0;;0;0;;0;0;;0;0;840.00;0
6704534;0;;0;0;;0;0;;0;0;80.00;0
6714487;0;;0;0;;0;0;;0;0;980.00;0
6733434;0;;0;0;;0;0;;0;0;480.00;0
6733530;0;;0;0;;0;0;;0;0;970.00;0
6735927;0;;0;0;;0;0;;0;0;195.00;0
6739542;0;;0;0;;0;0;;0;0;1520.00;0
6739551;0;;0;0;;0;0;;0;0;670.00;0
6739576;0;;0;0;;0;0;;0;0;1075.00;0
6739885;0;;0;0;;0;0;;0;0;1240.00;0
6740279;0;;0;0;;0;0;;0;0;220.00;0
6743595;0;;0;0;;0;0;;0;0;840.00;0
6744099;0;;0;0;;0;0;;0;0;1010.00;0
6749566;0;;0;0;;0;0;;0;0;280.00;0
6754385;0;;0;0;;0;0;;0;0;750.00;0
6755612;0;;0;0;;0;0;;0;0;1110.00;0
6756535;0;;0;0;;0;0;;0;0;570.00;0
6758475;0;;0;0;;0;0;;0;0;1305.00;0
6760291;0;;0;0;;0;0;;0;0;950.00;0
6762215;0;;0;0;;0;0;;0;0;135.00;0
6762420;0;;0;0;;0;0;;0;0;1455.00;0
6762595;0;;0;0;;0;0;;0;0;2018.00;0
6763547;0;;0;0;;0;0;;0;0;1020.00;0
6768006;0;;0;0;;0;0;;0;0;225.00;0
6772952;0;;0;0;;0;0;;0;0;1355.00;0
6773086;0;;0;0;;0;0;;0;0;637.50;0
6776110;0;;0;0;;0;0;;0;0;965.00;0
6776208;0;;0;0;;0;0;;0;0;605.00;0
6787452;0;;0;0;;0;0;;0;0;930.00;0
6787724;0;;0;0;;0;0;;0;0;185.00;0
6788104;0;;0;0;;0;0;;0;0;335.00;0
6793339;0;;0;0;;0;0;;0;0;340.00;0
6793391;0;;0;0;;0;0;;0;0;405.00;0
6793416;0;;0;0;;0;0;;0;0;1340.00;0
6799968;0;;0;0;;0;0;;0;0;205.00;0
6804145;0;;0;0;;0;0;;0;0;60.00;0
6808985;0;;0;0;;0;0;;0;0;195.00;0
6813287;0;;0;0;;0;0;;0;0;1300.00;0
6818346;0;;0;0;;0;0;;0;0;195.00;0
6819228;0;;0;0;;0;0;;0;0;1102.50;0
6819965;0;;0;0;;0;0;;0;0;280.00;0
6820187;0;;0;0;;0;0;;0;0;90.00;0
6823544;0;;0;0;;0;0;;0;0;530.00;0
6825150;0;;0;0;;0;0;;0;0;2325.00;0
6829676;0;;0;0;;0;0;;0;0;90.00;0
6830589;0;;0;0;;0;0;;0;0;60.00;0
6836702;0;;0;0;;0;0;;0;0;420.00;0
6842144;0;;0;0;;0;0;;0;0;892.00;0
6843713;0;;0;0;;0;0;;0;0;610.00;0
6843881;0;;0;0;;0;0;;0;0;620.00;0
6848121;0;;0;0;;0;0;;0;0;315.00;0
6862094;0;;0;0;;0;0;;0;0;1100.00;0
6862198;0;;0;0;;0;0;;0;0;1025.00;0
6863409;0;;0;0;;0;0;;0;0;815.00;0
6866696;0;;0;0;;0;0;;0;0;160.00;0
6867083;0;;0;0;;0;0;;0;0;180.00;0
6867605;0;;0;0;;0;0;;0;0;760.00;0
6868033;0;;0;0;;0;0;;0;0;415.00;0
6868225;0;;0;0;;0;0;;0;0;125.00;0
6868276;0;;0;0;;0;0;;0;0;1500.00;0
6868280;0;;0;0;;0;0;;0;0;90.00;0
6869266;0;;0;0;;0;0;;0;0;1050.00;0
6869282;0;;0;0;;0;0;;0;0;1140.00;0
6869486;0;;0;0;;0;0;;0;0;576.00;0
6875575;0;;0;0;;0;0;;0;0;45.00;0
6876150;0;;0;0;;0;0;;0;0;540.00;0
6876241;0;;0;0;;0;0;;0;0;1340.00;0
6877643;0;;0;0;;0;0;;0;0;1160.00;0
6877847;0;;0;0;;0;0;;0;0;725.00;0
6878084;0;;0;0;;0;0;;0;0;1595.00;0
6878167;0;;0;0;;0;0;;0;0;920.00;0
6878536;0;;0;0;;0;0;;0;0;1440.00;0
6892588;0;;0;0;;0;0;;0;0;285.00;0
6896708;0;;0;0;;0;0;;0;0;1145.00;0
